"num_collisions","year","weekday","max_temp","max_wind","fog","snow"
635,2013,"2",78.1,15,0,0
615,2013,"3",75.9,13,0,0
535,2013,"4",73.9,11.1,1,0
693,2013,"5",72,14,0,0
596,2013,"6",80.1,6,0,0
477,2013,"7",80.1,7,0,0
614,2013,"1",84,8,0,0
613,2013,"2",84,6,0,0
622,2013,"3",77,8,0,0
681,2013,"4",80.1,7,0,0
690,2013,"5",82,7,0,0
599,2013,"6",84,7,0,0
505,2013,"7",88,8,0,0
680,2013,"1",90,7,0,0
648,2013,"2",91,8.9,0,0
621,2013,"3",84.9,7,0,0
598,2013,"4",86,8,0,0
608,2013,"5",84.9,8,0,0
591,2013,"6",82.9,7,0,0
423,2013,"7",84,8,0,0
633,2013,"1",77,8,1,0
601,2013,"2",82,5.1,0,0
635,2013,"3",82.9,6,1,0
438,2013,"4",87.1,7,0,0
576,2013,"5",90,8.9,0,0
516,2013,"6",91.9,7,0,0
475,2013,"7",91.9,8,0,0
617,2013,"1",89.1,7,0,0
583,2013,"2",88,13,1,0
614,2013,"3",84.9,7,0,0
550,2013,"4",84,7,0,0
599,2013,"5",82,15,0,0
575,2013,"6",81,12,0,0
471,2013,"7",88,7,0,0
581,2013,"1",93.9,7,0,0
582,2013,"2",93.9,11.1,0,0
609,2013,"3",97,5.1,0,0
636,2013,"4",98.1,5.1,0,0
697,2013,"5",96.1,8.9,0,0
551,2013,"6",93,9.9,0,0
447,2013,"7",89.1,8.9,0,0
591,2013,"1",86,8,0,0
571,2013,"2",87.1,8.9,0,0
571,2013,"3",82.9,8,0,0
507,2013,"4",78.1,12,0,0
617,2013,"5",82.9,8.9,0,0
516,2013,"6",82,6,0,0
485,2013,"7",78.1,7,0,0
597,2013,"1",84.9,8.9,0,0
584,2013,"2",82.9,7,0,0
553,2013,"3",82.9,5.1,0,0
643,2013,"4",82.9,8,0,0
626,2013,"5",82.9,12,1,0
492,2013,"6",82.9,6,0,0
454,2013,"7",80.1,8,0,0
545,2013,"1",80.1,8,0,0
543,2013,"2",82,6,0,0
508,2013,"3",82,9.9,0,0
549,2013,"4",81,8,1,0
579,2013,"5",84.9,7,0,0
495,2013,"6",84.9,8,0,0
481,2013,"7",82.9,6,0,0
519,2013,"1",82,5.1,0,0
553,2013,"2",82,7,0,0
622,2013,"3",73.9,9.9,0,0
599,2013,"4",77,6,0,0
678,2013,"5",82,5.1,0,0
504,2013,"6",84,4.1,0,0
442,2013,"7",84,6,0,0
462,2013,"1",79,5.1,0,0
542,2013,"2",88,5.1,0,0
562,2013,"3",90,5.1,0,0
578,2013,"4",90,8,0,0
636,2013,"5",82,8,0,0
527,2013,"6",82,8,0,0
459,2013,"7",82.9,7,0,0
521,2013,"1",84,8,0,0
507,2013,"2",87.1,9.9,0,0
482,2013,"3",87.1,5.1,1,0
572,2013,"4",86,9.9,0,0
599,2013,"5",84,7,0,0
480,2013,"6",86,7,0,0
480,2013,"7",86,7,0,0
431,2013,"1",84,5.1,0,0
551,2013,"2",82,7,0,0
604,2013,"3",82,8,0,0
493,2013,"4",82,8,0,0
525,2013,"5",80.1,9.9,0,0
585,2013,"6",80.1,6,0,0
500,2013,"7",82.9,8,0,0
632,2013,"1",82.9,9.9,0,0
629,2013,"2",87.1,11.1,0,0
576,2013,"3",96.1,7,0,0
695,2013,"4",86,9.9,1,0
652,2013,"5",87.1,8.9,0,0
519,2013,"6",77,7,0,0
476,2013,"7",73,5.1,0,0
570,2013,"1",73,7,0,0
627,2013,"2",73,12,0,0
571,2013,"3",72,5.1,0,0
536,2013,"4",78.1,6,0,0
631,2013,"5",79,5.1,0,0
546,2013,"6",79,11.1,0,0
585,2013,"7",77,9.9,1,0
661,2013,"1",69.1,8,0,0
615,2013,"2",73,8,0,0
539,2013,"3",73,4.1,0,0
516,2013,"4",73,8,0,0
553,2013,"5",71.1,8,0,0
547,2013,"6",73,7,0,0
506,2013,"7",73,8,0,0
605,2013,"1",75,6,0,0
616,2013,"2",82,7,0,0
