"num_collisions_adj","max_temp","max_wind","day_group","winter_flag"
204.953,46.9,17.1,"Mon-Thu",0
249.508,46,13,"Mon-Thu",0
265.454,53.1,12,"Mon-Thu",0
272.958,64,9.9,"Fri",0
249.039,53.1,17.1,"Sat",0
211.519,54,12,"Sun",0
272.958,73,8.9,"Mon-Thu",0
287.497,82,11.1,"Mon-Thu",0
272.02,75.9,9.9,"Mon-Thu",0
242.473,60.1,9.9,"Mon-Thu",0
304.381,48.9,19,"Fri",0
260.295,57.9,12,"Sat",0
221.368,57,11.1,"Sun",0
282.807,59,11.1,"Mon-Thu",0
264.516,63,9.9,"Mon-Thu",0
250.915,71.1,8,"Mon-Thu",0
259.357,64,12,"Mon-Thu",0
267.33,71.1,12,"Fri",0
249.508,66,11.1,"Sat",0
220.899,55,9.9,"Sun",0
264.985,55,17.1,"Mon-Thu",0
240.597,53.1,14,"Mon-Thu",0
280.462,69.1,8,"Mon-Thu",0
273.427,66,9.9,"Mon-Thu",0
316.575,66.9,6,"Fri",0
242.473,70,11.1,"Sat",0
206.36,69.1,9.9,"Sun",0
280.462,57,7,"Mon-Thu",0
270.144,68,8.9,"Mon-Thu",0
270.144,69.1,11.1,"Mon-Thu",0
274.365,72,7,"Mon-Thu",0
321.734,66,13,"Fri",0
272.02,69.1,14,"Sat",0
241.535,63,9.9,"Sun",0
263.109,69.1,8.9,"Mon-Thu",0
277.648,73.9,7,"Mon-Thu",0
290.78,66,8.9,"Mon-Thu",0
282.338,68,6,"Mon-Thu",0
327.362,79,7,"Fri",0
245.287,70,7,"Sat",0
247.163,70,9.9,"Sun",0
270.613,59,9.9,"Mon-Thu",0
264.985,61,8,"Mon-Thu",0
249.508,66.9,8,"Mon-Thu",0
262.171,79,9.9,"Mon-Thu",0
347.998,72,7,"Fri",0
237.314,66.9,8.9,"Sat",0
255.136,60.1,8,"Sun",0
308.602,77,6,"Mon-Thu",0
326.893,86,8.9,"Mon-Thu",0
267.33,81,9.9,"Mon-Thu",0
344.715,80.1,12,"Mon-Thu",0
313.292,66.2,9.9,"Fri",0
241.066,53.1,13,"Sat",0
213.395,66,13,"Sun",0
196.98,73,8,"Mon-Thu",0
321.734,66.9,7,"Mon-Thu",0
269.206,82,7,"Mon-Thu",0
321.265,90,8,"Mon-Thu",0
345.184,90,8,"Fri",0
295.939,90,6,"Sat",0
228.403,88,12,"Sun",0
331.583,82,12,"Mon-Thu",0
287.497,75,8,"Mon-Thu",0
280.931,73.9,7,"Mon-Thu",0
283.745,70,8,"Mon-Thu",0
370.979,64,17.1,"Fri",0
267.799,77,14,"Sat",0
249.977,80.1,6,"Sun",0
292.656,75,9.9,"Mon-Thu",0
297.815,78.1,15,"Mon-Thu",0
288.435,75.9,13,"Mon-Thu",0
250.915,73.9,11.1,"Mon-Thu",0
325.017,72,14,"Fri",0
279.524,80.1,6,"Sat",0
223.713,80.1,7,"Sun",0
287.966,84,8,"Mon-Thu",0
287.497,84,6,"Mon-Thu",0
291.718,77,8,"Mon-Thu",0
319.389,80.1,7,"Mon-Thu",0
323.61,82,7,"Fri",0
280.931,84,7,"Sat",0
236.845,88,8,"Sun",0
318.92,90,7,"Mon-Thu",0
303.912,91,8.9,"Mon-Thu",0
291.249,84.9,7,"Mon-Thu",0
280.462,86,8,"Mon-Thu",0
285.152,84.9,8,"Fri",0
277.179,82.9,7,"Sat",0
198.387,84,8,"Sun",0
296.877,77,8,"Mon-Thu",0
281.869,82,5.1,"Mon-Thu",0
297.815,82.9,6,"Mon-Thu",0
205.422,87.1,7,"Mon-Thu",0
270.144,90,8.9,"Fri",0
242.004,91.9,7,"Sat",0
222.775,91.9,8,"Sun",0
289.373,89.1,7,"Mon-Thu",0
273.427,88,13,"Mon-Thu",0
287.966,84.9,7,"Mon-Thu",0
257.95,84,7,"Mon-Thu",0
280.931,82,15,"Fri",0
269.675,81,12,"Sat",0
220.899,88,7,"Sun",0
272.489,93.9,7,"Mon-Thu",0
272.958,93.9,11.1,"Mon-Thu",0
285.621,97,5.1,"Mon-Thu",0
298.284,98.1,5.1,"Mon-Thu",0
326.893,96.1,8.9,"Fri",0
258.419,93,9.9,"Sat",0
209.643,89.1,8.9,"Sun",0
277.179,86,8,"Mon-Thu",0
267.799,87.1,8.9,"Mon-Thu",0
267.799,82.9,8,"Mon-Thu",0
237.783,78.1,12,"Mon-Thu",0
289.373,82.9,8.9,"Fri",0
242.004,82,6,"Sat",0
227.465,78.1,7,"Sun",0
279.993,84.9,8.9,"Mon-Thu",0
273.896,82.9,7,"Mon-Thu",0
259.357,82.9,5.1,"Mon-Thu",0
301.567,82.9,8,"Mon-Thu",0
293.594,82.9,12,"Fri",0
230.748,82.9,6,"Sat",0
212.926,80.1,8,"Sun",0
255.605,80.1,8,"Mon-Thu",0
254.667,82,6,"Mon-Thu",0
238.252,82,9.9,"Mon-Thu",0
257.481,81,8,"Mon-Thu",0
271.551,84.9,7,"Fri",0
232.155,84.9,8,"Sat",0
225.589,82.9,6,"Sun",0
243.411,82,5.1,"Mon-Thu",0
259.357,82,7,"Mon-Thu",0
291.718,73.9,9.9,"Mon-Thu",0
280.931,77,6,"Mon-Thu",0
317.982,82,5.1,"Fri",0
236.376,84,4.1,"Sat",0
207.298,84,6,"Sun",0
216.678,79,5.1,"Mon-Thu",0
254.198,88,5.1,"Mon-Thu",0
263.578,90,5.1,"Mon-Thu",0
271.082,90,8,"Mon-Thu",0
298.284,82,8,"Fri",0
247.163,82,8,"Sat",0
215.271,82.9,7,"Sun",0
244.349,84,8,"Mon-Thu",0
237.783,87.1,9.9,"Mon-Thu",0
226.058,87.1,5.1,"Mon-Thu",0
268.268,86,9.9,"Mon-Thu",0
280.931,84,7,"Fri",0
225.12,86,7,"Sat",0
225.12,86,7,"Sun",0
202.139,84,5.1,"Mon-Thu",0
258.419,82,7,"Mon-Thu",0
283.276,82,8,"Mon-Thu",0
231.217,82,8,"Mon-Thu",0
246.225,80.1,9.9,"Fri",0
274.365,80.1,6,"Sat",0
234.5,82.9,8,"Sun",0
296.408,82.9,9.9,"Mon-Thu",0
295.001,87.1,11.1,"Mon-Thu",0
270.144,96.1,7,"Mon-Thu",0
325.955,86,9.9,"Mon-Thu",0
305.788,87.1,8.9,"Fri",0
243.411,77,7,"Sat",0
223.244,73,5.1,"Sun",0
267.33,73,7,"Mon-Thu",0
294.063,73,12,"Mon-Thu",0
267.799,72,5.1,"Mon-Thu",0
251.384,78.1,6,"Mon-Thu",0
295.939,79,5.1,"Fri",0
256.074,79,11.1,"Sat",0
274.365,77,9.9,"Sun",0
310.009,69.1,8,"Mon-Thu",0
288.435,73,8,"Mon-Thu",0
252.791,73,4.1,"Mon-Thu",0
242.004,73,8,"Mon-Thu",0
259.357,71.1,8,"Fri",0
256.543,73,7,"Sat",0
237.314,73,8,"Sun",0
283.745,75,6,"Mon-Thu",0
288.904,82,7,"Mon-Thu",0
303.443,82.9,7,"Mon-Thu",0
276.71,82.9,5.1,"Mon-Thu",0
308.602,86,4.1,"Fri",0
233.093,86,8.9,"Sat",0
189.476,75.9,8.9,"Sun",0
289.842,75.9,8.9,"Mon-Thu",0
269.206,75.9,8,"Mon-Thu",0
248.101,66.9,15.9,"Mon-Thu",0
262.171,64.9,12,"Mon-Thu",0
291.249,68,12,"Fri",0
260.764,72,14,"Sat",0
235.438,72,15.9,"Sun",0
206.36,66,6,"Mon-Thu",0
288.435,72,5.1,"Mon-Thu",0
257.012,72,7,"Mon-Thu",0
269.206,73,5.1,"Mon-Thu",0
318.92,73,11.1,"Fri",0
220.899,68,6,"Sat",0
229.81,64,9.9,"Sun",0
288.904,66,6,"Mon-Thu",0
253.26,66.9,6,"Mon-Thu",0
261.702,66.9,8.9,"Mon-Thu",0
296.408,54,8.9,"Mon-Thu",0
303.443,54,7,"Fri",0
293.594,54,13,"Sat",0
240.128,57.9,8,"Sun",0
290.78,61,8,"Mon-Thu",0
281.4,61,7,"Mon-Thu",0
261.702,60.1,4.1,"Mon-Thu",0
288.435,64.9,6,"Mon-Thu",0
332.99,70,20,"Fri",0
258.419,70,7,"Sat",0
194.635,68,11.1,"Sun",0
308.602,55,12,"Mon-Thu",0
239.19,55,6,"Mon-Thu",0
297.815,61,6,"Mon-Thu",0
302.974,63,9.9,"Mon-Thu",0
319.858,48,9.9,"Fri",0
267.799,50,8.9,"Sat",0
222.306,60.1,11.1,"Sun",0
213.864,61,11.1,"Mon-Thu",0
303.443,52,11.1,"Mon-Thu",0
278.117,39,9.9,"Mon-Thu",0
290.78,52,13,"Mon-Thu",0
289.373,57,8,"Fri",0
287.028,60.1,8.9,"Sat",0
249.977,60.1,8.9,"Sun",0
286.559,64.9,9.9,"Mon-Thu",0
281.4,64.9,13,"Mon-Thu",0
284.683,51.1,11.1,"Mon-Thu",0
294.532,51.1,8,"Mon-Thu",0
329.238,57,9.9,"Fri",0
251.384,57,13,"Sat",0
231.686,37.4,21,"Sun",0
332.99,35.1,9.9,"Mon-Thu",0
406.623,41,8,"Mon-Thu",0
347.998,62.1,13,"Mon-Thu",0
201.201,39.2,17.1,"Mon-Thu",0
204.953,39,6,"Fri",0
224.651,39,8,"Sat",0
196.98,48.9,6,"Sun",0
257.481,48.9,5.1,"Mon-Thu",0
259.357,53.1,7,"Mon-Thu",0
243.88,53.1,5.1,"Mon-Thu",0
268.737,60.1,5.1,"Mon-Thu",0
355.971,62.1,8.9,"Fri",0
265.923,42.1,9.9,"Sat",0
213.864,41,9.9,"Sun",0
299.691,39,12,"Mon-Thu",0
252.791,39,8.9,"Mon-Thu",0
283.745,37,12,"Mon-Thu",0
303.912,33.1,11.1,"Mon-Thu",0
325.955,35.1,11.1,"Fri",0
323.61,34,15.9,"Sat",0
211.05,39.9,17.1,"Sun",0
300.16,39.9,12,"Mon-Thu",0
329.707,32,9.9,"Mon-Thu",0
328.769,37,11.1,"Mon-Thu",0
284.683,45,8,"Mon-Thu",0
316.106,53.1,11.1,"Fri",0
279.055,63,11.1,"Sat",0
236.845,71.1,12,"Sun",0
331.583,71.1,14,"Mon-Thu",0
241.535,64,12,"Mon-Thu",0
120.533,42.1,14,"Mon-Thu",0
200.732,35.1,8,"Mon-Thu",0
223.244,39.9,8.9,"Fri",0
222.775,55,13,"Sat",0
184.786,55,12,"Sun",0
223.244,48,11.1,"Mon-Thu",0
218.085,45,11.1,"Mon-Thu",0
187.131,33.1,8.9,"Mon-Thu",1
282.807,33.1,15,"Mon-Thu",1
198.387,24.8,15,"Fri",1
196.042,28,8,"Sat",1
150.08,36,7,"Sun",1
242.942,55,11.1,"Mon-Thu",1
288.904,21,11.1,"Mon-Thu",1
263.109,32,8,"Mon-Thu",1
312.823,36,7,"Fri",1
218.085,57.9,9.9,"Sat",1
181.972,57.9,12,"Sun",1
266.392,54,9.9,"Mon-Thu",1
262.171,52,8.9,"Mon-Thu",1
273.427,46.9,6,"Mon-Thu",1
222.775,28,8,"Sat",1
218.085,28,14,"Sun",1
239.659,44.1,15,"Mon-Thu",1
236.376,26.1,12,"Mon-Thu",1
304.381,23,8.9,"Mon-Thu",1
308.133,30,8.9,"Mon-Thu",1
