"num_collisions_adj","max_temp","max_wind","weekday","month","year","fog","snow"
192.759,44.6,39,"7","12",2012,0,0
226.058,37.4,22.9,"1","12",2012,0,0
178.689,39.9,8.9,"2","01",2013,0,0
225.12,33.1,9.9,"3","01",2013,0,0
257.481,32,8,"4","01",2013,0,0
236.845,37,13,"5","01",2013,0,0
182.441,42.1,12,"6","01",2013,0,0
184.317,46,8.9,"7","01",2013,0,0
244.349,45,11.1,"1","01",2013,0,0
240.597,48,8.9,"2","01",2013,0,0
228.403,48.9,9.9,"3","01",2013,0,0
260.295,48,11.1,"4","01",2013,0,0
309.54,44.1,7,"5","01",2013,0,0
222.775,46.9,7,"6","01",2013,0,0
174.937,48.9,8,"7","01",2013,1,0
254.198,72,8.9,"1","01",2013,1,0
242.004,50,11.1,"2","01",2013,0,0
271.082,37.9,12,"3","01",2013,0,0
230.279,43,8,"4","01",2013,0,0
263.109,39.9,9.9,"5","01",2013,0,0
226.996,51.1,13,"6","01",2013,0,0
184.317,53.1,15.9,"7","01",2013,0,0
166.495,39.9,11.1,"1","01",2013,0,0
255.136,30.9,14,"2","01",2013,0,0
255.605,19.9,11.1,"3","01",2013,0,0
259.826,21.9,15,"4","01",2013,0,0
316.106,24.1,11.1,"5","01",2013,0,0
261.702,26.1,9.9,"6","01",2013,0,0
201.201,34,9.9,"7","01",2013,0,2
237.783,34,8.9,"1","01",2013,0,1.2
254.198,48,8,"2","01",2013,0,1.2
233.093,59,8.9,"3","01",2013,1,0
277.648,61,20,"4","01",2013,1,0
269.206,34,14,"5","02",2013,0,0
250.446,28.9,12,"6","02",2013,0,0
208.705,30,7,"7","02",2013,0,0
259.357,30,12,"1","02",2013,0,0
265.454,30,8.9,"2","02",2013,0,0
265.454,39,7,"3","02",2013,0,0
246.694,35.1,8.9,"4","02",2013,0,0
329.707,34,19,"5","02",2013,1,0
189.007,32,14,"6","02",2013,1,0
187.6,36,8.9,"7","02",2013,0,0
222.775,45,7,"1","02",2013,1,9.8
233.562,45,14,"2","02",2013,0,9.1
267.33,44.1,7,"3","02",2013,0,3.9
295.939,46,8.9,"4","02",2013,0,0
283.276,55,9.9,"5","02",2013,0,0
210.581,46.9,11.1,"6","02",2013,0,0
209.643,35.1,17.1,"7","02",2013,0,0
186.662,35.1,18.1,"1","02",2013,0,0
223.713,48.9,11.1,"2","02",2013,0,0
239.19,45,14,"3","02",2013,0,0
233.562,34,15,"4","02",2013,0,0
249.039,37.9,9.9,"5","02",2013,0,0
244.349,42.1,14,"6","02",2013,0,0
199.794,46.9,13,"7","02",2013,0,0
229.81,45,9.9,"1","02",2013,0,0
251.853,44.1,9.9,"2","02",2013,0,0
257.95,46.9,17.1,"3","02",2013,0,0
242.473,51.1,8,"4","02",2013,0,0
282.807,45,9.9,"5","03",2013,0,0
222.306,39.9,9.9,"6","03",2013,0,0
235.438,39.9,9.9,"7","03",2013,0,0
279.993,42.1,14,"1","03",2013,0,0
247.163,48.9,13,"2","03",2013,0,0
222.775,44.1,20,"3","03",2013,0,0
250.915,41,21,"4","03",2013,0,0
399.119,41,13,"5","03",2013,1,0
266.861,55,8.9,"6","03",2013,0,2
194.635,51.1,7,"7","03",2013,0,2
244.818,53.1,11.1,"1","03",2013,0,0
256.543,57,14,"2","03",2013,0,0
298.284,53.1,8.9,"3","03",2013,0,0
261.233,44.1,15.9,"4","03",2013,0,0
284.683,46.9,11.1,"5","03",2013,0,0
244.349,46.9,9.9,"6","03",2013,1,0
199.794,37.9,8.9,"7","03",2013,0,0
292.187,36,13,"1","03",2013,1,0
262.171,43,19,"2","03",2013,0,0
253.26,45,12,"3","03",2013,0,2
238.252,43,8.9,"4","03",2013,0,0
283.276,41,12,"5","03",2013,0,0
228.872,46,12,"6","03",2013,0,0
211.519,46.9,12,"7","03",2013,0,0
233.562,41,20,"1","03",2013,0,0
199.325,53.1,8.9,"2","03",2013,0,0
206.829,51.1,8.9,"3","03",2013,0,0
257.481,51.1,8.9,"4","03",2013,0,0
243.88,55,12,"5","03",2013,0,0
240.597,59,8,"6","03",2013,0,0
