"num_collisions","max_temp","max_wind","day_group","winter_flag","weekday"
245,44.1,8,"Mon-Thu",1,"3"
253,48.9,4.1,"Mon-Thu",1,"4"
272,48.9,12,"Fri",1,"5"
265,46.9,19,"Sat",1,"6"
210,46.9,12,"Sun",1,"7"
225,45,9.9,"Mon-Thu",1,"1"
261,45,12,"Mon-Thu",1,"2"
253,43,13,"Mon-Thu",1,"3"
251,43,9.9,"Mon-Thu",1,"4"
254,45,12,"Fri",1,"5"
251,45,15,"Sat",1,"6"
212,36,14,"Sun",1,"7"
260,37,11.1,"Mon-Thu",1,"1"
263,37,11.1,"Mon-Thu",1,"2"
262,37,11.1,"Mon-Thu",1,"3"
262,37,17.1,"Mon-Thu",1,"4"
291,34,22.9,"Fri",1,"5"
284,32,14,"Sat",1,"6"
297,32,7,"Sun",1,"7"
239,33.1,17.1,"Mon-Thu",1,"1"
238,34,17.1,"Mon-Thu",1,"2"
246,37,9.9,"Mon-Thu",1,"3"
277,43,11.1,"Mon-Thu",1,"4"
326,46.9,9.9,"Fri",1,"5"
275,46.9,13,"Sat",1,"6"
243,44.1,8,"Sun",1,"7"
301,39.9,12,"Mon-Thu",1,"1"
229,33.8,7,"Mon-Thu",1,"2"
279,35.1,7,"Mon-Thu",1,"3"
299,34,8.9,"Mon-Thu",1,"4"
290,30,9.9,"Fri",1,"5"
210,28.9,8.9,"Sat",1,"6"
184,37.9,8.9,"Sun",1,"7"
208,37.9,8,"Mon-Thu",1,"1"
213,51.1,12,"Mon-Thu",1,"2"
239,51.1,14,"Mon-Thu",1,"3"
256,34,12,"Mon-Thu",1,"4"
202,33.8,12,"Fri",1,"5"
257,34,13,"Sat",1,"6"
208,36,12,"Sun",1,"7"
245,39,7,"Mon-Thu",1,"1"
240,45,8,"Mon-Thu",1,"2"
267,54,11.1,"Mon-Thu",1,"3"
269,54,13,"Mon-Thu",1,"4"
301,50,6,"Fri",1,"5"
223,50,8,"Sat",1,"6"
