"injury_rate","av_temp","snow","av_wind","day_group","winter_flag","freeze_lvl"
0.433656957928803,54.2,0,1.9,"Mon-Thu",0,"above"
0.437125748502994,52.4,0,5.7,"Mon-Thu",0,"above"
0.393401015228426,42.4,0,7.7,"Fri",0,"above"
0.458083832335329,39,0,2.8,"Sat",0,"drops_below"
0.483766233766234,49.3,0,3.6,"Sun",0,"drops_below"
0.425076452599388,43,0,9.8,"Mon-Thu",0,"above"
0.410526315789474,45.7,0,8,"Mon-Thu",0,"above"
0.374172185430464,50.7,0,3.2,"Mon-Thu",0,"above"
0.464985994397759,57.8,0,3.9,"Mon-Thu",0,"above"
0.454794520547945,61.9,0,3.7,"Fri",0,"above"
0.525835866261398,64.2,0,3.2,"Sat",0,"above"
0.441717791411043,65,0,2.3,"Sun",0,"above"
0.544025157232704,63.2,0,0.8,"Mon-Thu",0,"above"
0.513119533527697,65.5,0,4.1,"Mon-Thu",0,"above"
0.526666666666667,67.1,0,3.1,"Mon-Thu",0,"above"
0.45565749235474,59.9,0,4.4,"Mon-Thu",0,"above"
0.411764705882353,48.5,0,4.3,"Fri",0,"above"
0.426174496644295,48.2,0,4,"Sat",0,"above"
0.374501992031873,49.7,0,5.5,"Sun",0,"above"
0.426229508196721,52,0,6.7,"Mon-Thu",0,"above"
0.432950191570881,45.7,0,5.4,"Mon-Thu",0,"above"
0.48135593220339,34.8,0,9.1,"Mon-Thu",0,"drops_below"
0.43010752688172,37.1,0,3.8,"Mon-Thu",0,"drops_below"
0.452513966480447,51.2,0,5.3,"Fri",0,"drops_below"
0.474522292993631,57.8,0,3.9,"Sat",0,"above"
0.432432432432432,48.5,0,6.4,"Sun",0,"above"
0.473154362416107,53.3,0,6.3,"Mon-Thu",0,"above"
0.459876543209877,44.1,0,5.5,"Mon-Thu",0,"above"
0.438405797101449,48.6,0,3.6,"Mon-Thu",0,"above"
0.45320197044335,58.6,0,4.1,"Mon-Thu",0,"above"
0.46594982078853,56.7,0,2.3,"Fri",0,"above"
0.527196652719665,51.4,0,4.1,"Sat",0,"above"
0.483870967741935,47,0,2.6,"Sun",0,"above"
0.40531561461794,55.5,0,4.8,"Mon-Thu",0,"above"
0.368029739776952,53.1,0,5.3,"Mon-Thu",0,"above"
0.438297872340426,39.6,0,8.5,"Mon-Thu",0,"above"
0.365079365079365,41,0,6.2,"Mon-Thu",0,"above"
0.489247311827957,48.2,0,5.2,"Fri",0,"above"
0.410071942446043,44.1,0,6.3,"Sat",0,"above"
0.394190871369295,37.8,0,9.6,"Sun",0,"above"
0.419928825622776,34.8,0,5.3,"Mon-Thu",0,"drops_below"
0.531914893617021,32.5,0,7.3,"Mon-Thu",0,"drops_below"
0.407142857142857,34.1,0,6.5,"Mon-Thu",0,"drops_below"
0.479099678456592,41.2,0,5.7,"Mon-Thu",0,"drops_below"
0.454022988505747,46.4,0,2.4,"Fri",0,"above"
0.4,51.2,0,3.6,"Sat",0,"above"
0.516981132075472,55.4,0,5.9,"Sun",0,"above"
0.448,41.7,0,3.3,"Mon-Thu",0,"above"
0.422222222222222,35.8,0,7.3,"Mon-Thu",0,"above"
0.348973607038123,28.8,0,8.5,"Mon-Thu",0,"drops_below"
0.240343347639485,27.7,0,10.1,"Mon-Thu",0,"drops_below"
0.334532374100719,27.5,9.1,5.9,"Fri",0,"drops_below"
0.286852589641434,26.2,7.9,2.7,"Sat",0,"drops_below"
0.427835051546392,34.2,7.1,2.5,"Sun",0,"drops_below"
0.294776119402985,40.5,5.9,2.1,"Mon-Thu",0,"drops_below"
0.371875,41.3,5.1,5.4,"Mon-Thu",0,"above"
0.4,40.5,3.1,4.8,"Mon-Thu",0,"above"
0.438095238095238,50.9,2,6.1,"Mon-Thu",0,"above"
0.363095238095238,53.7,1.2,9.8,"Fri",0,"above"
0.517699115044248,28.8,0,9.1,"Sat",0,"drops_below"
0.320652173913043,29.5,0,4.2,"Sun",0,"drops_below"
0.391705069124424,42.3,0,4.1,"Mon-Thu",0,"drops_below"
0.44672131147541,39.2,0,8.1,"Mon-Thu",0,"above"
0.407563025210084,33.4,0,3.9,"Mon-Thu",0,"drops_below"
0.449640287769784,43.9,0,5.5,"Mon-Thu",0,"drops_below"
0.408560311284047,36.5,0,4.4,"Fri",1,"above"
0.481818181818182,41.5,0,6.2,"Sat",1,"above"
0.548387096774194,36.6,0,6.7,"Sun",1,"above"
0.417355371900826,37.7,0,5.3,"Mon-Thu",1,"above"
0.403508771929825,38.4,0,3.9,"Mon-Thu",1,"above"
0.395454545454545,37.4,0,6.4,"Mon-Thu",1,"above"
0.43859649122807,35.3,0,7.2,"Mon-Thu",1,"drops_below"
0.430147058823529,32,0,4.5,"Fri",1,"drops_below"
0.471311475409836,30.7,0,6,"Sat",1,"drops_below"
0.480225988700565,34.1,0,4.1,"Sun",1,"drops_below"
0.357142857142857,32.4,0,2.7,"Mon-Thu",1,"drops_below"
0.3584229390681,37.3,0,3.4,"Mon-Thu",1,"drops_below"
0.346938775510204,38.9,0,3,"Mon-Thu",1,"above"
0.430830039525692,42.9,0,1.6,"Mon-Thu",1,"above"
0.386029411764706,41.2,0,5.7,"Fri",1,"above"
0.479245283018868,43.1,0,7.2,"Sat",1,"above"
0.447619047619048,39.3,0,7.7,"Sun",1,"above"
0.408888888888889,41.3,0,6.1,"Mon-Thu",1,"above"
0.386973180076628,37.8,0,5.7,"Mon-Thu",1,"above"
0.375494071146245,36.6,0,5.7,"Mon-Thu",1,"drops_below"
0.422310756972112,32.3,0,3.9,"Mon-Thu",1,"drops_below"
0.362204724409449,40.9,0,5.7,"Fri",1,"drops_below"
0.458167330677291,31.6,0,9.2,"Sat",1,"drops_below"
0.419811320754717,26.1,0,9.2,"Sun",1,"drops_below"
0.326923076923077,29,0,5,"Mon-Thu",1,"drops_below"
0.486692015209125,33.3,0,6,"Mon-Thu",1,"drops_below"
0.358778625954198,34.3,0,5.4,"Mon-Thu",1,"drops_below"
0.324427480916031,30,0,7.2,"Mon-Thu",1,"drops_below"
0.398625429553265,20.4,0,12.5,"Fri",1,"drops_below"
0.274647887323944,22.1,0,7.6,"Sat",1,"drops_below"
0.363636363636364,23.7,0,4.8,"Sun",1,"drops_below"
0.158995815899582,27,0,11.4,"Mon-Thu",1,"drops_below"
0.159663865546218,32,5.1,8.8,"Mon-Thu",1,"drops_below"
0.207317073170732,32.2,14.2,6.5,"Mon-Thu",1,"drops_below"
0.350180505415162,35,13,6.7,"Mon-Thu",1,"drops_below"
0.325153374233129,41.1,11,3.5,"Fri",1,"drops_below"
0.349090909090909,39.4,9.1,6.6,"Sat",1,"above"
0.436213991769547,35.9,7.1,4.5,"Sun",1,"drops_below"
0.318936877076412,23.7,5.9,6.3,"Mon-Thu",1,"drops_below"
0.296943231441048,29.8,9.8,4.3,"Mon-Thu",1,"drops_below"
0.39426523297491,29.4,9.1,3.9,"Mon-Thu",1,"drops_below"
0.280936454849498,29.5,9.1,5,"Mon-Thu",1,"drops_below"
0.362068965517241,25.8,9.1,4.6,"Fri",1,"stays_below"
0.423809523809524,27.5,7.9,5.6,"Sat",1,"stays_below"
0.375,31.2,7.9,4.1,"Sun",1,"drops_below"
0.427884615384615,33.2,7.9,4.9,"Mon-Thu",1,"drops_below"
0.342723004694836,40.2,7.1,6.2,"Mon-Thu",1,"drops_below"
0.401673640167364,29.7,5.9,7.4,"Mon-Thu",1,"drops_below"
0.40625,28.1,3.1,6.8,"Mon-Thu",1,"drops_below"
0.341584158415842,29.8,2,7.3,"Fri",1,"drops_below"
0.389105058365759,31.4,5.1,5.5,"Sat",1,"drops_below"
0.509615384615385,29.7,5.9,5.8,"Sun",1,"drops_below"
0.330612244897959,34.3,5.1,3.3,"Mon-Thu",1,"drops_below"
0.404166666666667,38.8,3.1,4.5,"Mon-Thu",1,"drops_below"
0.51310861423221,45.8,3.1,6.4,"Mon-Thu",1,"above"
0.353159851301115,46,2,8.2,"Mon-Thu",1,"above"
0.504983388704319,40.1,0,3.5,"Fri",1,"above"
0.466367713004484,43,0,4.5,"Sat",1,"above"
0.466981132075472,43.7,0,4.1,"Sun",1,"above"
0.34375,43.4,0,5.9,"Mon-Thu",1,"above"
0.470149253731343,29.2,0,11.1,"Mon-Thu",1,"drops_below"
0.389344262295082,39.4,0,6,"Mon-Thu",1,"drops_below"
0.320610687022901,41.8,0,6.8,"Mon-Thu",1,"drops_below"
0.401960784313726,29.7,0,11.1,"Fri",1,"drops_below"
0.362549800796813,32.8,0,8.4,"Sat",1,"drops_below"
0.430555555555556,32.7,0,5.9,"Sun",1,"drops_below"
0.376,33.7,0,4.2,"Mon-Thu",1,"drops_below"
0.421404682274247,50.2,0,6.6,"Mon-Thu",1,"above"
0.446428571428571,48,0,5.3,"Mon-Thu",1,"above"
0.501742160278746,53.7,0,2.6,"Mon-Thu",1,"above"
0.411242603550296,63.1,0,6,"Fri",1,"above"
0.376984126984127,45.2,0,7.4,"Sat",1,"above"
0.364754098360656,45.3,0,8,"Sun",1,"above"
0.426877470355731,31.1,0,9,"Mon-Thu",1,"drops_below"
0.345991561181435,32.7,0,3.7,"Mon-Thu",1,"drops_below"
0.411522633744856,39.5,0,3,"Mon-Thu",1,"drops_below"
0.364754098360656,45.3,0,3.7,"Mon-Thu",1,"above"
0.372168284789644,38.5,0,11.3,"Fri",1,"drops_below"
0.508833922261484,43.6,0,3,"Sat",1,"drops_below"
0.563218390804598,51.9,0,2.5,"Sun",1,"above"
0.447457627118644,50.6,0,2.9,"Mon-Thu",1,"above"
0.431095406360424,52,0,4.1,"Mon-Thu",1,"above"
0.507462686567164,51.6,0,4.1,"Mon-Thu",1,"above"
0.400778210116732,55.6,0,4.1,"Mon-Thu",1,"above"
0.473214285714286,62.6,0,5.3,"Fri",1,"above"
0.566153846153846,58,0,6.6,"Sat",1,"above"
0.388888888888889,54,0,3.8,"Sun",1,"above"
0.429166666666667,50.9,0,10.5,"Mon-Thu",1,"above"
0.409252669039146,50.6,0,4.6,"Mon-Thu",1,"above"
0.46830985915493,56.2,0,4.8,"Mon-Thu",1,"above"
0.486692015209125,48.6,0,7.9,"Mon-Thu",0,"above"
0.381625441696113,35.1,0,9.1,"Fri",0,"drops_below"
0.548042704626335,40.3,0,5.9,"Sat",0,"drops_below"
0.478764478764479,52.4,0,3.3,"Sun",0,"above"
0.574626865671642,57.2,0,6.9,"Mon-Thu",0,"above"
0.487421383647799,57.6,0,6.8,"Mon-Thu",0,"above"
0.455445544554455,60,0,2.5,"Mon-Thu",0,"above"
0.503225806451613,57.6,0,3.1,"Mon-Thu",0,"above"
0.366548042704626,52.7,0,3.9,"Fri",0,"above"
0.469387755102041,57.5,0,2.4,"Sat",0,"above"
0.52093023255814,55,0,4.8,"Sun",0,"above"
0.484848484848485,47.6,0,8,"Mon-Thu",0,"above"
0.445482866043614,52.4,0,4.3,"Mon-Thu",0,"above"
